Champion,Top wins,Top losses,Jungle wins,Jungle losses,Mid wins,Mid losses,Bot wins,Bot losses,Support wins,Support losses
Sejuani,0,0,1903,1508,0,0,0,0,470,404
Maokai,0,0,5347,4214,93,98,0,0,128,140
Poppy,0,0,956,704,0,0,0,0,563,504
Shen,0,0,853,638,0,0,0,0,714,661
Leona,0,0,1034,835,0,0,0,0,568,521
Nautilus,0,0,10170,7441,0,0,0,0,2921,2511
Qiyana,24,30,747,506,316,307,2,2,223,227
Evelynn,0,0,128,108,133,130,0,0,22,39
Rek'Sai,0,0,84,68,0,0,0,0,0,0
Kha'Zix,0,0,18,14,0,0,0,0,0,0
Rengar,0,0,241,223,0,0,0,0,762,815
Elise,0,0,3,7,0,0,0,0,0,0
Lee Sin,0,0,3,4,0,0,0,0,0,0
Ivern,0,0,6378,5201,0,0,0,0,0,0
Volibear,452,401,96,98,0,0,0,0,0,0
Twitch,0,0,0,0,0,0,729,605,0,0
Jinx,0,0,0,0,0,0,929,782,0,0
Kog'Maw,0,0,0,0,0,0,2872,2508,0,0
Vayne,15,20,0,0,0,0,1741,1592,0,0
Yuumi,1585,1166,0,0,0,0,0,0,36,42
Ornn,921,768,0,0,0,0,0,0,116,98
Aatrox,234,180,0,0,676,574,0,0,0,0
Kled,201,181,0,0,0,0,0,0,0,0
Zac,0,0,43,41,0,0,0,0,0,0
Sett,458,428,295,287,0,0,4,4,1519,1299
Pyke,2,0,1183,733,3425,2515,0,0,13234,10048
Nunu,0,0,1623,1286,0,0,0,0,315,289
Senna,1579,1118,0,0,6494,4400,2862,2422,1260,1149
Cassiopeia,0,0,0,0,698,755,0,0,0,0
Ryze,927,884,0,0,661,570,112,95,0,0
Gangplank,0,0,0,0,299,246,0,0,0,0
Yone,1623,1443,0,0,161,127,127,91,0,0
Jarvan IV,512,492,1855,1533,443,461,0,0,6,14
Vi,0,0,570,364,0,0,0,0,0,0
Kennen,5,7,0,0,767,687,0,0,0,0
Orianna,0,0,0,0,309,269,0,0,0,0
Aurelion Sol,303,262,46,62,808,761,0,0,0,0
Nidalee,0,0,0,0,141,143,0,0,155,177
Riven,1144,1012,0,0,16,12,0,0,0,0
Udyr,0,0,459,408,0,0,0,0,0,0
Thresh,0,0,1362,1181,145,116,0,0,922,868
Galio,28,29,57,41,1398,1184,238,218,0,1
Rammus,0,0,705,663,0,0,0,0,0,0
Rumble,0,0,5,8,207,178,0,0,0,0
Quinn,0,0,10,18,0,0,0,0,0,0
Rakan,0,0,355,345,0,0,0,0,3482,3434
Morgana,0,0,0,0,0,0,0,0,87,127
Draven,0,0,0,0,264,211,6879,5985,0,0
Cho'Gath,760,718,0,0,461,476,1655,1513,0,0
Ezreal,0,0,0,0,455,439,1227,1068,282,244
Neeko,0,0,0,0,89,105,230,253,0,0
Ahri,0,0,0,0,1520,1499,244,248,0,0
Aphelios,0,0,0,0,0,0,2259,2052,0,0
Kayn,0,0,242,192,0,0,0,0,0,0
Lillia,151,174,566,511,425,365,0,0,0,0
Singed,0,0,107,107,11,9,250,211,0,1
Pantheon,229,248,22,33,0,0,0,0,0,0
Akali,1205,1033,0,0,810,807,0,0,0,0
Kayle,36,50,0,0,7,9,87,94,0,0
Janna,2644,2188,0,0,16,21,0,0,189,174
Karma,44,38,0,0,730,648,0,0,6,6
Yasuo,730,611,0,0,2341,2131,303,250,0,0
Shyvana,25,41,0,0,3,9,0,0,0,0
Zoe,0,0,0,0,149,149,0,0,0,0
Xerath,0,0,0,0,6,6,0,0,0,0
Veigar,2,3,0,0,772,739,0,0,0,0
Karthus,0,0,0,0,500,427,0,0,0,0
Azir,0,0,0,0,519,466,28,27,0,0
Viktor,0,0,0,0,500,451,0,0,0,0
Irelia,73,69,0,0,186,173,0,0,0,0
Xayah,0,0,0,0,5,6,770,707,0,0
Gragas,0,0,170,165,90,93,0,0,0,0
Warwick,0,0,102,102,0,0,0,0,0,0
Olaf,0,0,27,31,0,0,16,18,0,0
Sona,152,162,0,0,0,0,0,0,0,0
Lulu,20,22,0,0,979,769,0,0,119,138
Blitzcrank,0,0,0,0,0,0,0,0,21,26
Tryndamere,1278,1046,0,0,3,5,0,0,0,0
Lucian,1639,1432,0,0,296,326,1285,1145,0,0
Jayce,1011,920,0,0,221,234,0,0,0,0
Zed,95,82,0,0,103,94,0,0,0,0
Camille,101,116,0,0,140,113,0,0,0,0
Fiora,734,589,0,0,0,0,0,0,0,0
Twisted Fate,10,12,0,0,0,0,0,0,0,0
Trundle,10,9,0,0,0,0,0,0,0,0
Sivir,0,0,0,0,0,0,1482,1246,0,0
Kai'Sa,0,0,0,0,158,153,681,643,0,0
Caitlyn,0,0,0,0,0,0,1214,1092,0,0
Bard,0,0,0,0,0,0,0,0,1854,1806
Soraka,56,78,0,0,0,0,0,0,0,1
Heimerdinger,0,0,0,0,1218,1194,0,0,0,0
Ekko,0,0,472,489,455,480,0,0,0,0
Renekton,125,120,0,0,0,0,0,0,0,0
Varus,9,12,0,0,18,25,317,283,0,0
Lissandra,0,0,0,0,759,616,0,0,0,0
Fizz,0,0,0,0,1394,1247,0,0,0,0
LeBlanc,0,0,0,0,706,661,0,0,21,25
Diana,2,1,0,0,141,126,0,0,0,0
Anivia,0,0,0,0,32,36,294,241,0,0
Wukong,0,0,0,0,2,1,0,0,0,0
Jhin,0,0,0,0,0,0,268,229,0,0
Zilean,778,659,0,0,5,11,0,0,0,0
Vladimir,0,0,0,0,3,9,0,0,0,0
Kassadin,0,0,0,0,85,83,0,0,0,0
Garen,386,361,0,0,0,0,5,5,0,0
Alistar,1380,1176,0,0,0,0,1,1,116,126
Nasus,397,321,0,0,0,0,0,0,0,0
Braum,0,0,0,0,0,0,13,23,30,14
Miss Fortune,0,0,0,0,0,0,1018,909,0,0
Ziggs,0,0,0,0,1,0,0,0,0,0
Graves,0,0,2,0,0,0,0,0,0,0
Urgot,45,49,0,0,0,0,0,0,0,0
Syndra,0,0,0,0,107,108,0,0,0,0
Gnar,8,10,0,0,0,0,0,0,0,0
Kindred,0,0,457,437,0,0,0,0,0,0
Talon,0,0,530,412,0,0,0,0,0,0
Darius,373,331,0,0,0,0,0,0,0,0
Jax,28,38,0,0,0,0,0,0,0,0
Corki,0,0,0,0,157,163,0,0,22,24
Taric,0,0,0,0,0,0,0,0,0,1
Katarina,0,0,0,0,124,110,0,0,0,0
Kalista,0,0,0,0,0,0,123,97,0,0
Skarner,0,0,7,9,0,0,0,0,0,0
