Rank number,Role,Player name,Rank,Win rate(%),Wins / losses,Coach
#1,Jungle,DanDyx,Challenger - 2832 LP,70.7,982 / 407,Choi
#2,Jungle,Aela ,Challenger - 1550 LP,57.8,1232 / 900,MolscarZX
#3,ADC,Impx,Challenger - 1355 LP,60.1,1568 / 1041,Choi
#4,Top,Heimerdonger,Challenger - 1105 LP,56.3,2052 / 1592,TimoMacDonut
#5,Jungle,tarzaned,Challenger - 998 LP,59.1,533 / 369,Tyler1
#6,Support,HelpingX,Challenger - 914 LP,58.2,1408 / 1013,Felixxx
#7,Mid,Jarl Mid,Challenger - 881 LP,58.7,1415 / 996,Jarl
#8,Jungle,Prime Bengi,Challenger - 834 LP,60.4,1198 / 786,LDK
#9,Jungle,AttSeeker,Challenger - 763 LP,56.4,1078 / 833,PaxVan
#10,Mid,Etosh,Challenger - 740 LP,54.4,1711 / 1434,Etosh
#11,Jungle,sandbox5,Challenger - 733 LP,56.4,1209 / 935,
#12,Support,unicornpetpetuwu,Challenger - 688 LP,54.1,1748 / 1485,GamerGirls
#13,ADC,Cryhard II,Challenger - 676 LP,53.8,1972 / 1692,roysiggi
#14,Jungle,Stupid Jungler,Challenger - 667 LP,58.8,1330 / 932,PooPooPeePee
#15,Jungle,Wakes,Challenger - 649 LP,57.3,1694 / 1262,alim
#16,Jungle,Nunu V2,Challenger - 611 LP,56.3,1275 / 988,willchung1024
#17,Jungle,Shitfeather,Challenger - 586 LP,56.6,1399 / 1073,hiroli
#18,Top,Bijou,Challenger - 568 LP,51.9,2426 / 2250,EMFyels
#19,Jungle,Umbral,Challenger - 567 LP,54.9,1469 / 1206,Indoraps
#20,Mid,PawNx,Challenger - 559 LP,53.8,1784 / 1535,Choi
#21,Support,DieFliegendeKuh,Challenger - 555 LP,53.9,1737 / 1484,doofboy13
#22,Jungle,Canyon,Challenger - 554 LP,57.2,1565 / 1173,YamatoCannon
#23,Mid,Choky,Challenger - 548 LP,54.1,1798 / 1523,Key
#24,Mid,Chovy,Challenger - 544 LP,54.7,1583 / 1310,TheStriker9
#25,ADC,Puki style23,Challenger - 538 LP,53.4,1707 / 1492,Klorellv4
#26,Jungle,Sanga,Challenger - 537 LP,54.5,2645 / 2204,EMFyels
#27,Top,Finch,Challenger - 530 LP,52.8,1434 / 1281,LumiFumi
#28,Support,Princess,Challenger - 527 LP,52.7,2208 / 1979,Princess
#29,Support,Aeryn,Challenger - 522 LP,53.9,1655 / 1415,WildChoas
#30,Jungle,QQ Nino,Challenger - 521 LP,54.4,1804 / 1514,Futaro
#31,ADC,botkek,Challenger - 517 LP,53.0,2304 / 2047,redeemer
#32,Mid,Bournoff,Challenger - 511 LP,51.3,1518 / 1442,reaganhau
#33,Top,Salsa,Challenger - 505 LP,51.9,2575 / 2387,YungYiga
#34,Top,sandbox0,Challenger - 503 LP,54.0,1567 / 1335,
#35,Top,Diablo,Challenger - 503 LP,53.1,2230 / 1967,Kyzent
#36,Mid,Viree,Challenger - 493 LP,52.7,1380 / 1238,viree
#37,Jungle,junglekek,Challenger - 487 LP,54.6,1631 / 1358,redeemer
#38,Mid,midkek,Challenger - 486 LP,52.2,1873 / 1714,redeemer
#39,Support,ReaganHau,Challenger - 482 LP,51.7,1462 / 1366,reaganhau
#40,Mid,EMFyels,Challenger - 480 LP,53.5,2379 / 2065,EMFyels
#41,Support,Dibbs,Challenger - 480 LP,53.8,1470 / 1261,MaverickG
#42,ADC,sandbox15,Challenger - 473 LP,53.3,1774 / 1554,
#43,Mid,sandbox10,Challenger - 469 LP,53.7,1490 / 1285,
#44,ADC,NewMeta,Challenger - 469 LP,52.7,2343 / 2103,moxir
#45,Support,Fekker,Challenger - 467 LP,53.4,1773 / 1545,Key
#46,Support,Keria,Challenger - 466 LP,52.4,1590 / 1445,TheStriker9
#47,Support,xplayz4dayz,Challenger - 463 LP,55.7,1295 / 1030,froggen
